X	Y	Z
1.000000	0.000000	0.000000
0.977403	0.211383	0.067797
0.910635	0.413212	0.135593
0.802712	0.596367	0.203390
0.658511	0.752571	0.271186
0.484551	0.874763	0.338983
0.288692	0.957422	0.406780
0.079786	0.996812	0.474576
-0.132726	0.991153	0.542373
-0.339239	0.940700	0.610169
-0.530421	0.847734	0.677966
-0.697632	0.716457	0.745763
-0.833314	0.552800	0.813559
-0.931336	0.364161	0.881356
-0.987268	0.159063	0.949153
-0.998583	-0.053222	1.016949
-0.964768	-0.263103	1.084746
-0.887352	-0.461093	1.152542
-0.769834	-0.638244	1.220339
-0.617525	-0.786552	1.288136
-0.437307	-0.899312	1.355932
-0.237327	-0.971430	1.423729
-0.026621	-0.999646	1.491525
0.185289	-0.982684	1.559322
0.388824	-0.921312	1.627119
0.574787	-0.818303	1.694915
0.734774	-0.678312	1.762712
0.861554	-0.507666	1.830508
0.949398	-0.314077	1.898305
0.994335	-0.106293	1.966102
0.994335	0.106293	2.033898
0.949398	0.314077	2.101695
0.861554	0.507666	2.169492
0.734774	0.678312	2.237288
0.574787	0.818303	2.305085
0.388824	0.921312	2.372881
0.185289	0.982684	2.440678
-0.026621	0.999646	2.508475
-0.237327	0.971430	2.576271
-0.437307	0.899312	2.644068
-0.617525	0.786552	2.711864
-0.769834	0.638244	2.779661
-0.887352	0.461093	2.847458
-0.964768	0.263103	2.915254
-0.998583	0.053222	2.983051
-0.987268	-0.159063	3.050847
-0.931336	-0.364161	3.118644
-0.833314	-0.552800	3.186441
-0.697632	-0.716457	3.254237
-0.530421	-0.847734	3.322034
-0.339239	-0.940700	3.389831
-0.132726	-0.991153	3.457627
0.079786	-0.996812	3.525424
0.288692	-0.957422	3.593220
0.484551	-0.874763	3.661017
0.658511	-0.752571	3.728814
0.802712	-0.596367	3.796610
0.910635	-0.413212	3.864407
0.977403	-0.211383	3.932203
1.000000	0.000000	4.000000
