X	Y	Z
-2.000000	-2.000000	0.264881
-1.500000	-2.000000	0.290573
-1.000000	-2.000000	0.245123
-0.500000	-2.000000	0.139658
0.000000	-2.000000	0.000000
0.500000	-2.000000	-0.139658
1.000000	-2.000000	-0.245123
1.500000	-2.000000	-0.290573
2.000000	-2.000000	-0.264881
-2.000000	-1.500000	-0.045025
-1.500000	-1.500000	-0.049392
-1.000000	-1.500000	-0.041666
-0.500000	-1.500000	-0.023739
0.000000	-1.500000	0.000000
0.500000	-1.500000	0.023739
1.000000	-1.500000	0.041666
1.500000	-1.500000	0.049392
2.000000	-1.500000	0.045025
-2.000000	-1.000000	-0.343907
-1.500000	-1.000000	-0.377264
-1.000000	-1.000000	-0.318254
-0.500000	-1.000000	-0.181324
0.000000	-1.000000	0.000000
0.500000	-1.000000	0.181324
1.000000	-1.000000	0.318254
1.500000	-1.000000	0.377264
2.000000	-1.000000	0.343907
-2.000000	-0.500000	-0.558588
-1.500000	-0.500000	-0.612769
-1.000000	-0.500000	-0.516922
-0.500000	-0.500000	-0.294515
0.000000	-0.500000	0.000000
0.500000	-0.500000	0.294515
1.000000	-0.500000	0.516922
1.500000	-0.500000	0.612769
2.000000	-0.500000	0.558588
-2.000000	0.000000	-0.636508
-1.500000	0.000000	-0.698246
-1.000000	0.000000	-0.589030
-0.500000	0.000000	-0.335598
0.000000	0.000000	0.000000
0.500000	0.000000	0.335598
1.000000	0.000000	0.589030
1.500000	0.000000	0.698246
2.000000	0.000000	0.636508
-2.000000	0.500000	-0.558588
-1.500000	0.500000	-0.612769
-1.000000	0.500000	-0.516922
-0.500000	0.500000	-0.294515
0.000000	0.500000	0.000000
0.500000	0.500000	0.294515
1.000000	0.500000	0.516922
1.500000	0.500000	0.612769
2.000000	0.500000	0.558588
-2.000000	1.000000	-0.343907
-1.500000	1.000000	-0.377264
-1.000000	1.000000	-0.318254
-0.500000	1.000000	-0.181324
0.000000	1.000000	0.000000
0.500000	1.000000	0.181324
1.000000	1.000000	0.318254
1.500000	1.000000	0.377264
2.000000	1.000000	0.343907
-2.000000	1.500000	-0.045025
-1.500000	1.500000	-0.049392
-1.000000	1.500000	-0.041666
-0.500000	1.500000	-0.023739
0.000000	1.500000	0.000000
0.500000	1.500000	0.023739
1.000000	1.500000	0.041666
1.500000	1.500000	0.049392
2.000000	1.500000	0.045025
-2.000000	2.000000	0.264881
-1.500000	2.000000	0.290573
-1.000000	2.000000	0.245123
-0.500000	2.000000	0.139658
0.000000	2.000000	0.000000
0.500000	2.000000	-0.139658
1.000000	2.000000	-0.245123
1.500000	2.000000	-0.290573
2.000000	2.000000	-0.264881
